Date,Segment,Metric,Budget_Value,Forecast_Value,Variance,Variance_Pct,Abs_Variance
2025-11-30,Near Prime Medium,ClosingGBV,106142350.7231449,106284638.52,142287.79685509205,0.1340537456403501,142287.79685509205
2025-11-30,Near Prime Medium,ClosingNBV,98110771.66251794,101256692.81,3145921.1474820673,3.206499239760774,3145921.1474820673
2025-11-30,Near Prime Medium,Collections,4371808.845951251,3968767.38,-403041.46595125087,-9.219100837963424,403041.46595125087
2025-11-30,Near Prime Medium,DebtSaleGain,0.0,0.0,0.0,,0.0
2025-11-30,Near Prime Medium,GrossImpairment,-797188.6406021544,615295.7,1412484.3406021544,-177.18319964208695,1412484.3406021544
2025-11-30,Near Prime Medium,NetImpairment,-797188.6406021544,615295.7,1412484.3406021544,-177.18319964208695,1412484.3406021544
2025-11-30,Near Prime Medium,Revenue,1659773.550015418,1204178.95,-455594.60001541814,-27.449202333124656,455594.60001541814
2025-11-30,Near Prime Small,ClosingGBV,38843303.82129443,39556219.14,712915.3187055737,1.8353622080795828,712915.3187055737
2025-11-30,Near Prime Small,ClosingNBV,35167358.606724516,37079137.68,1911779.0732754841,5.436231633586286,1911779.0732754841
2025-11-30,Near Prime Small,Collections,2768166.629759246,2289707.08,-478459.54975924594,-17.284347864595805,478459.54975924594
2025-11-30,Near Prime Small,DebtSaleGain,0.0,0.0,0.0,,0.0
2025-11-30,Near Prime Small,GrossImpairment,-453354.36590264237,-239142.83,214211.53590264238,-47.25035248665592,214211.53590264238
2025-11-30,Near Prime Small,NetImpairment,-453354.36590264237,-239142.83,214211.53590264238,-47.25035248665592,214211.53590264238
2025-11-30,Near Prime Small,Revenue,730014.9519362088,531391.58,-198623.3719362088,-27.20812380751966,198623.3719362088
2025-11-30,Non Prime,ClosingGBV,106776768.07051812,109769545.61,2992777.5394818783,2.802835854242547,2992777.5394818783
2025-11-30,Non Prime,ClosingNBV,89926694.50714242,94212360.2,4285665.692857578,4.765732485048901,4285665.692857578
2025-11-30,Non Prime,Collections,8819734.103952989,6145765.7,-2673968.403952989,-30.318016081170985,2673968.403952989
2025-11-30,Non Prime,DebtSaleGain,0.0,0.0,0.0,,0.0
2025-11-30,Non Prime,GrossImpairment,-1770549.133654641,-2563006.8,-792457.6663453588,44.75773370432394,792457.6663453588
2025-11-30,Non Prime,NetImpairment,-1770549.133654641,-2563006.8,-792457.6663453588,44.75773370432394,792457.6663453588
2025-11-30,Non Prime,Revenue,3517194.094535914,2063167.66,-1454026.4345359139,-41.340523026431654,1454026.4345359139
2025-11-30,Prime,ClosingGBV,3214712.28307929,2903252.97,-311459.3130792896,-9.688559524243045,311459.3130792896
2025-11-30,Prime,ClosingNBV,2552540.679133679,2499059.26,-53481.41913367901,-2.095222989818535,53481.41913367901
2025-11-30,Prime,Collections,235811.76654129205,401796.60000000003,165984.833458708,70.38869853410942,165984.833458708
2025-11-30,Prime,DebtSaleGain,0.0,0.0,0.0,,0.0
2025-11-30,Prime,GrossImpairment,-659.4058951998636,77933.8,78593.20589519986,-11918.790303107397,78593.20589519986
2025-11-30,Prime,NetImpairment,-659.4058951998636,77933.8,78593.20589519986,-11918.790303107397,78593.20589519986
2025-11-30,Prime,Revenue,28408.91249559851,24471.55,-3937.3624955985106,-13.859603024961054,3937.3624955985106
2025-11-30,Total,ClosingGBV,254977134.89803675,258513656.24,3536521.3419632614,1.3869954823115815,3536521.3419632614
2025-11-30,Total,ClosingNBV,225757365.45551857,235047249.95,9289884.494481415,4.1149862268001325,9289884.494481415
2025-11-30,Total,Collections,16195521.346204778,12806036.76,-3389484.5862047784,-20.92853026308451,3389484.5862047784
2025-11-30,Total,DebtSaleGain,0.0,0.0,0.0,,0.0
2025-11-30,Total,GrossImpairment,-3021751.5460546375,-2108920.13,912831.4160546376,-30.208685331740128,912831.4160546376
2025-11-30,Total,NetImpairment,-3021751.5460546375,-2108920.13,912831.4160546376,-30.208685331740128,912831.4160546376
2025-11-30,Total,Revenue,5935391.508983139,3823209.7399999998,-2112181.768983139,-35.58622486463411,2112181.768983139
2025-12-31,Near Prime Medium,ClosingGBV,106589876.06889193,102227028.8,-4362847.268891931,-4.093115997313013,4362847.268891931
2025-12-31,Near Prime Medium,ClosingNBV,96624174.0661499,96288025.35,-336148.7161499113,-0.3478929775066253,336148.7161499113
2025-12-31,Near Prime Medium,Collections,4248500.422361114,4026264.0599999996,-222236.36236111447,-5.230936572147171,222236.36236111447
2025-12-31,Near Prime Medium,DebtSaleGain,0.0,32040.23,32040.23,,32040.23
2025-12-31,Near Prime Medium,GrossImpairment,-947703.2680764974,-1919050.2,-971346.9319235026,102.49483827305919,971346.9319235026
2025-12-31,Near Prime Medium,NetImpairment,-947703.2680764974,-1887009.94,-939306.6719235026,99.1140057826289,939306.6719235026
2025-12-31,Near Prime Medium,Revenue,1714116.5542096249,1252192.9100000001,-461923.64420962473,-26.94820507247342,461923.64420962473
2025-12-31,Near Prime Small,ClosingGBV,37947752.961424604,37336199.15,-611553.8114246055,-1.6115679156188056,611553.8114246055
2025-12-31,Near Prime Small,ClosingNBV,33510444.669094056,35057738.03,1547293.3609059453,4.617346550262225,1547293.3609059453
2025-12-31,Near Prime Small,Collections,2621046.6956804483,2273166.71,-347879.98568044836,-13.272559632522507,347879.98568044836
2025-12-31,Near Prime Small,DebtSaleGain,0.0,12177.31,12177.31,,12177.31
2025-12-31,Near Prime Small,GrossImpairment,-307673.3672196644,-184804.86,122868.5072196644,-39.93472308961407,122868.5072196644
2025-12-31,Near Prime Small,NetImpairment,-307673.3672196644,-172627.56,135045.8072196644,-43.8925892221435,135045.8072196644
2025-12-31,Near Prime Small,Revenue,718410.2564207664,541296.91,-177113.34642076632,-24.653510280208558,177113.34642076632
2025-12-31,Non Prime,ClosingGBV,103659941.10913292,102936524.21,-723416.8991329223,-0.6978750821122981,723416.8991329223
2025-12-31,Non Prime,ClosingNBV,84639849.188804,89130241.24,4490392.051195994,5.305293067310868,4490392.051195994
2025-12-31,Non Prime,Collections,8390325.5064549,6492784.27,-1897541.2364549004,-22.615823843724204,1897541.2364549004
2025-12-31,Non Prime,DebtSaleGain,0.0,64180.27,64180.27,,64180.27
2025-12-31,Non Prime,GrossImpairment,-1903967.8301076586,-272481.27,1631486.5601076586,-85.68876712666975,1631486.5601076586
2025-12-31,Non Prime,NetImpairment,-1903967.8301076586,-208300.96,1695666.8701076587,-89.0596386815936,1695666.8701076587
2025-12-31,Non Prime,Revenue,3380984.730902706,2253322.82,-1127661.910902706,-33.35306133138395,1127661.910902706
2025-12-31,Prime,ClosingGBV,3090344.8140779724,2431413.7,-658931.1140779722,-21.32225216669128,658931.1140779722
2025-12-31,Prime,ClosingNBV,2386047.358279273,2031513.05,-354534.30827927287,-14.858645074628763,354534.30827927287
2025-12-31,Prime,Collections,221072.8869086584,388506.09,167433.20309134162,75.73665203029655,167433.20309134162
2025-12-31,Prime,DebtSaleGain,0.0,2692.5,2692.5,,2692.5
2025-12-31,Prime,GrossImpairment,-551.4768704927753,-80251.48999999999,-79700.01312950722,14452.104411612188,79700.01312950722
